"","region","Fall","Winter","Spring","Summer"
"1","SRM","-14 ± 8","-0.57 ± 6.9","-6.4 ± 9.7","-33 ± 10**"
"2","CRM","-4.9 ± 3.5","0.92 ± 2.7","-2.7 ± 3.9","-11 ± 5.1*"
"3","NRM","-4.8 ± 4.6","0.84 ± 3.8","-2.1 ± 4.5","-17 ± 6**"
"4","SCM","-47 ± 41","-0.015 ± 36","-130 ± 42**","-120 ± 38**"
"5","CCM","-27 ± 14","-1.2 ± 12","-56 ± 14**","-36 ± 14*"
"6","NCM","-120 ± 54*","-18 ± 47","-120 ± 61","-140 ± 70"
"7","SIR","-18 ± 13","1.8 ± 10","-21 ± 15","-43 ± 14**"
"8","NIR","-20 ± 8.2*","1.2 ± 7.2","-26 ± 10*","-29 ± 11*"
"9","SEM","-20 ± 13","1.7 ± 11","-25 ± 14","-43 ± 18*"
"10","VIL","-0.38 ± 0.26","-0.41 ± 0.28","-0.81 ± 0.19**","-0.61 ± 0.21**"
